index,val,n,coup,Coordonées,Destination,Step,Will_Kill,Safe_position,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Chess_bad,Chess_good,Warning_w,Warning_b,Area_w,Area_b,Nb_w,Nb_b,Color,Play_target,p_Step,p_Will_Kill,p_warning_position,p_Chess_bad,p_Chess_good,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p_Warning_w,p_Warning_b,p_Area_w,p_Area_b,p_Nb_w,p_Nb_b
0,17,♟,0,1,2,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,2,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,20,19,16,16
1,17,♟,0,1,3,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,3,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,20,21,16,16
4,25,♞,0,10,2,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,3,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,2,60,0,70,20,50,30,40,0,0,20,20,16,16
5,25,♞,0,10,22,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,5,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,22,60,0,70,20,50,30,40,0,0,20,22,16,16
6,18,♟,0,11,12,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,12,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,20,21,16,16
7,18,♟,0,11,13,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,13,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,20,21,16,16
12,19,♟,0,21,22,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,22,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,20,21,16,16
13,19,♟,0,21,23,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,23,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,20,22,16,16
16,20,♟,0,31,32,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,32,41,51,61,71,10,60,0,70,20,50,30,40,0,0,20,27,16,16
17,20,♟,0,31,33,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,33,41,51,61,71,10,60,0,70,20,50,30,40,0,0,20,28,16,16
20,21,♟,0,41,42,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,42,51,61,71,10,60,0,70,20,50,30,40,0,0,20,30,16,16
21,21,♟,0,41,43,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,1,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,43,51,61,71,10,60,0,70,20,50,30,40,0,0,20,30,16,16
24,22,♟,0,51,52,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,52,61,71,10,60,0,70,20,50,30,40,0,0,20,19,16,16
25,22,♟,0,51,53,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,1,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,53,61,71,10,60,0,70,20,50,30,40,0,0,20,20,16,16
28,26,♞,0,60,52,2,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,60,0,70,20,50,30,40,0,0,0,0,20,20,16,16,1,0,5,0,0,0,0,6,16,26,36,46,56,66,76,17,67,7,77,27,57,37,47,1,11,21,31,41,51,61,71,10,52,0,70,20,50,30,40,0,0,20,22,16,16
